id(sha1);sha256;DDOS SCORE;family;size;bits;arch;bintype;endianess;lang;static;stripped;decompiled;DDOS Str score;dynamic IP;static IP;User agent;NET files;SYS files;PROC files;AUTOINSTALL bins;HIST files;SYS calls;while ratio;code suspect lines ration;functions;line/func ratio;whiles;source file
0ca85445c0c7ec9f970343dae26abc894c7cef96;c89da1a8dc6bb70cd190f2913b169dbaf09f1d0472a8b3693a559d14c187287d;0.12;;51332;32;ppc;elf;big;c;1;1;1;0.00;0;1;0;0;1;0;0;0;0;13.41;0.44;146;312;92;../dataset2/NewMalware/files/d518a0d5-34ce-4e04-8597-0b8cf6cd3a5d/stage2/Josho.ppc
0cd55e8226e43598ddb891ad430b57a451602054;a3092afcc39d41aa1bdd97b2635d440e2e4da2b9c97a8e828f5be79e17da6b18;0.18;;53852;32;x86;elf;little;c;1;1;1;8.67;0;0;0;0;1;0;0;0;0;29.60;1.09;118;184;40;../dataset2/NewMalware/files/2e30e427-6d10-4ad3-a8d9-82995633970f/stage1.dat
0d082b169e100c5055d4dc82925afb65abe5e6e4;cfa7a052ccc1ddb81984ee05eff89f264ccc279e9050d0a768c293e676ce8946;0.12;Mirai;78556;32;arm;elf;little;c;1;1;1;14.67;0;0;0;0;1;0;0;0;0;19.36;0.49;210;435;139;../dataset2/NewMalware/files/63056fd7-c42f-4e53-a0ba-c346bf026d13/stage2/besuto.arm7
0d4f59523b8c8397ebb5a8b825db9ac1388db686;90bed32d6b4f78df62fb141a47bdf29afc0c419b90b8dff633d0a19563111fdc;0.12;Mirai;58500;32;arm;elf;little;c;1;1;1;4.67;0;0;0;0;1;1;0;0;0;17.16;0.40;181;301;116;../dataset2/mirai/90bed32d6b4f78df62fb141a47bdf29afc0c419b90b8dff633d0a19563111fdc
0dbaa867c7cc042cb808fc3c605aaf67147104d8;c69e45b0aed7d093b85d9f4d6fe96c4a0e6a233ce468397c788a9cf1732f0899;0.79;Gafgyt;144332;32;arm;elf;little;c;1;0;1;76.67;1;1;1;1;1;1;1;1;1;22.40;1.88;362;196;232;../dataset2/NewMalware/files/6aff4061-45ff-4c27-9a4f-29fb46166057/stage2/tftp
0dd18b6f392eec4f8b7f9c9be53fec96ab56bc66;05edf924735d3c09d65a52dc835f3c040a5bd853ba682c5b3e74c1a18dfd564c;0.15;Mirai;43488;32;arm;elf;little;c;0;1;1;20.00;0;1;0;0;0;0;0;0;0;18.33;1.78;117;337;82;../dataset2/NewMalware/files/c9dc29cc-107b-4c47-a207-aba421426cdd/stage2/Josho.arm5
0e794a487361f12dca65f95b7183acec11d2d974;5476c5efc83c1bdd55adb5d497a0ad0083881e285c227cbb70d954b95d018a47;0.04;Mirai;51760;32;m68k;elf;big;c;1;1;0;0.67;0;0;0;0;1;0;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/mirai/5476c5efc83c1bdd55adb5d497a0ad0083881e285c227cbb70d954b95d018a47
0ec2b08830e49ed9705edd85b6e7f0650ce68137;3a9f6dad14fee322ddd444cc60000994ef16e548fde8c54723c27749fbbb8d68;0.76;;91495;32;x86;elf;little;c;1;0;1;74.67;1;1;1;1;1;1;1;1;0;22.71;1.82;252;234;149;../dataset2/NewMalware/files/e5c62528-c4da-477e-a023-204d41e697b7/stage2/wget
0f609b25f12e8aa9c489ee4d8a6acea16a7b0f3a;e7db26c8e5f82e3241d01b34d67bc57600d00dcc820f5e57c3f266136195c290;0.09;;54268;32;sh;elf;little;c;1;1;0;14.67;0;0;0;0;1;0;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/7b47f9ea-bcb0-40c7-bd04-650cf021138e/stage1.dat
0f6330ce70337e33f697323e07eae461edaecace;3b7dc079b9d307e2508a6d9cd716e5ab929a2c57504466a7b5c97d6ee98c08b9;0.15;;43488;32;arm;elf;little;c;0;1;1;20.00;0;1;0;0;0;0;0;0;0;18.33;1.78;117;337;82;../dataset2/NewMalware/files/044499bb-9f8c-4de5-908e-0899d12d827a/stage2/Josho.arm5
