id;size;bits;arch;bintype;class;crypto;endian;lang;machine;nx;os;static;stripped;subsys;va;decompiled;sections;strings;source file
08316e762f1c3337df4e50b12d4c0ced1b45c701;62172;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.ARM.attributes|.rodata|.shstrtab|.text;;../dataset2/matsuta/a1b82e74edf79e0492878bd88ab860c2d04cb57be9d365a233eace14ac025e07
564ee75e74f60567a405c2a23d1473e89a07319d;47472;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/960caabe1426c0268aa1b90e4113bac1d5ae46941e7165a82614d633357b9c8c
122e5a8a8b8b3ee16f7e78c332173302825d3504;56696;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.ARM.attributes|.rodata|.shstrtab|.text;;../dataset2/matsuta/d77b48706417b6ef0f87773ca046ab68160e8d1152ff9ccb4678b0e60b5891f0
230cbae41483c55758649e44b21d977bd41c8462;63468;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.ARM.attributes|.rodata|.shstrtab|.text;;../dataset2/matsuta/0657d4eec6baaa0f3af0c7996a54064561f98355c9cc694f4a6b748979eed232
1edca6403cb2fa5c2e3e51be09ca35f539a5b4ca;79055;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;0;linux;1;0;.comment|.data|.fini|.rodata|.shstrtab|.strtab|.text;udp:1|socket:8|host:3|tcp:2|ping:1|connect:14|getpid:4|kill:4|random:13;../dataset2/NewMalware/files/e78e8f45-3275-4009-aab7-b23fc63e8e11/stage2/openssh
4af91377c14f894f1325f73cb639adcebf2e8a55;112178;32;mips;elf;ELF32;0;big;c;MIPS R3000;0;linux;1;0;linux;1;1;.comment|.data|.got|.rodata|.shstrtab|.strtab|.symtab|.text|LOAD0;connect:14|getpid:4|random:13|kill:4|udp:1|ping:1|tcp:2|socket:6|host:3;../dataset2/NewMalware/files/e78e8f45-3275-4009-aab7-b23fc63e8e11/stage2/ntpd
e53da2f0d1b30501f5976382ecc40c85cfb4d0e1;112290;32;mips;elf;ELF32;0;little;c;MIPS R3000;0;linux;1;0;linux;1;1;.comment|.data|.got|.init|.rodata|.shstrtab|.strtab|.text;getpid:4|connect:14|kill:4|random:13|udp:1|host:3|socket:6|ping:1|tcp:2;../dataset2/NewMalware/files/e78e8f45-3275-4009-aab7-b23fc63e8e11/stage2/sshd
2f928d9b7f29fd86a0a8d5d7892a4b98311c2cee;54700;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;1;linux;1;0;.rodata|.shstrtab|.text;host:1|tcp:1;../dataset2/NewMalware/files/d2dce24a-07e6-47c5-b4ab-be34a3f75738/stage1.dat
0cd55e8226e43598ddb891ad430b57a451602054;53852;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;host:1;../dataset2/NewMalware/files/2e30e427-6d10-4ad3-a8d9-82995633970f/stage1.dat
14047769459f5bd633f9f2932c19102befc22e73;28860;64;x86;elf;ELF64;0;little;c;AMD x86-64 architecture;0;linux;1;0;linux;1;0;LOAD0|unknown;;../dataset2/NewMalware/files/fe3f11bb-4e7c-42c1-ba2e-cd41d3d8f7bf/stage1.dat
700a963f9bf2c17e97f52351fed5298055246181;283991;64;x86;elf;ELF64;0;little;c;AMD x86-64 architecture;1;linux;1;0;linux;1;0;.comment|.data|.rodata|.shstrtab|.strtab|.symtab|.text;ping:2|tcp:10|host:42|socket:19|udp:18|dns:12|random:17|kill:31|icmp:1|connect:17|getpid:4;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmyx86
551a66c784fa4af1873a458c7b0bfc533d03e2ea;238732;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;0;linux;1;1;.comment|.data|.rodata|.shstrtab|.strtab|.symtab|.text|LOAD0|unknown;host:42|socket:21|tcp:11|ping:2|udp:18|kill:31|icmp:1|random:17|dns:12|connect:17|getpid:4;../dataset2/NewMalware/files/4e46bf67-cc96-4bdb-8ba3-75b2a2a0199f/stage2/jackmyi686
